page_type,race_rec,sex,year_dx,interval,alive_at_start,died,lost_to_followup,obs_int,obs_cum,exp_int,exp_cum,rel_int,rel_cum,obs_se_int,obs_se_cum,rel_se_int,rel_se_cum
0,0,0,0,1,8182,5595,2,0.3160983,0.3160983,0.9652267,0.9652267,0.327486,0.327486,0.51405,0.51405,0.53257,0.53257
0,0,0,0,2,2585,1072,2,0.5851393,0.1849615,0.9692184,0.9355155,0.6037229,0.1977108,0.96925,0.42935,1.00003,0.45895
0,0,0,0,3,1511,394,1,0.7391592,0.136716,0.9707306,0.9081335,0.7614463,0.1505462,1.12979,0.37998,1.16385,0.41842
0,0,0,0,4,1116,180,0,0.8387097,0.114665,0.9709031,0.8817096,0.8638449,0.1300485,1.10098,0.35245,1.13397,0.39973
0,0,0,0,5,936,133,0,0.857906,0.0983718,0.9702173,0.8554499,0.8842411,0.1149943,1.14122,0.32947,1.17625,0.38514
0,0,0,0,6,803,95,0,0.8816936,0.0867338,0.970902,0.8305579,0.9081181,0.1044284,1.13974,0.31138,1.1739,0.3749
0,0,0,0,7,708,67,1,0.9053004,0.0785202,0.9710779,0.8065364,0.9322634,0.0973548,1.1008,0.29762,1.13358,0.36901
0,0,0,0,8,640,45,0,0.9296875,0.0729992,0.970017,0.782354,0.958424,0.0933071,1.01064,0.28785,1.04187,0.36793
0,0,0,0,9,595,42,0,0.9294118,0.0678463,0.9682912,0.7575465,0.9598474,0.0895606,1.05005,0.27829,1.08444,0.36736
0,0,0,0,10,553,55,1,0.9004525,0.0610924,0.96646,0.7321384,0.9317018,0.0834438,1.27374,0.26507,1.31794,0.36205
0,0,0,0,11,497,36,0,0.9275654,0.0566672,0.9652958,0.7067301,0.9609131,0.0801822,1.1627,0.25593,1.2045,0.36213
0,0,0,0,12,461,34,0,0.9262473,0.0524878,0.9644003,0.6815707,0.9604387,0.0770101,1.21731,0.24689,1.26225,0.36223
0,0,0,0,13,427,40,0,0.9063232,0.0475709,0.9633289,0.6565767,0.9408243,0.072453,1.41008,0.23568,1.46376,0.35895
0,0,0,0,14,387,28,0,0.9276486,0.0441291,0.9626977,0.6320849,0.9635928,0.0698152,1.31692,0.22743,1.36795,0.35981
0,0,0,0,15,359,32,0,0.9108635,0.0401956,0.9609002,0.6073705,0.9479273,0.0661797,1.50386,0.21753,1.56505,0.35814
0,0,0,0,16,327,29,1,0.9111792,0.0366254,0.9584502,0.5821344,0.9506798,0.0629157,1.57441,0.20806,1.64266,0.35741
